athlete_id,name,born_date,born_country,NOC,country_noc
31512,Miha Oswald,1892-07-26,SLO,Yugoslavia,YUG
31513,Alojz Petrovič,1936-05-12,CRO,Yugoslavia,YUG
31514,Rastko Poljšak,1899-02-01,SLO,Yugoslavia,YUG
31515,Janez Porenta,1896-06-03,SLO,Yugoslavia,YUG
31516,Jože Primožič,1900-02-07,SLO,Yugoslavia,YUG
31517,Janez Pristov,1907-01-10,ITA,Yugoslavia,YUG
31518,Drago Šoštarić,1943-01-30,SLO,Yugoslavia,YUG
31519,Tine Šrot,1938-08-10,SLO,Yugoslavia,YUG
31520,Sreten Stefanović,1916-11-17,BIH,Yugoslavia,YUG
31521,Leon Štukelj,1898-11-12,SLO,Yugoslavia,YUG
31522,Jakob Šubelj,1922-01-01,SLO,Yugoslavia,
31523,Jože Vadnov,1912-07-05,SLO,Yugoslavia,YUG
31524,Nenad Vidović,1939-05-05,SRB,Yugoslavia,YUG
31525,Miloš Vratič,1948-05-11,SLO,Yugoslavia,YUG
31526,Stane Žilič,1897-01-01,SLO,Yugoslavia,
31558,Flemming Lauritzen,1949-06-28,AUS,Denmark,DEN
31626,Talant Duyshebayev,1968-06-02,KGZ,Poland Spain Unified Team,POL
31634,Javier García,1947-04-20,ESP,Egypt Spain United States,EGY
31682,Stéphane Joulin,1971-01-06,GER,France,FRA
31690,Frédéric Perez,1961-07-19,ALG,France,FRA
31701,Gabriele Badorek,1952-09-20,GER,East Germany,GDR
31702,Hannelore Burosch,1947-11-16,GER,East Germany,GDR
31703,Birgit Heinecke,1957-04-10,GER,East Germany,GDR
31705,Katrin Krüger,1959-04-10,GER,East Germany,GDR
31706,Kornelia Kunisch,1959-10-17,GER,East Germany,GDR
31707,Evelyn Matz,1955-11-22,GER,East Germany,GDR
31708,Liane Michaelis,1953-04-23,GER,East Germany,GDR
31709,Eva Paskuy,1948-11-14,GER,East Germany,GDR
31710,Kristina Richter,1946-10-24,GER,East Germany,GDR
31711,Christina Rost,1952-08-14,GER,East Germany,GDR
31712,Renate Rudolph,1949-11-24,GER,East Germany,GDR
31713,Sabine Röther,1957-06-17,GER,East Germany,GDR
31714,Silvia Siefert,1953-07-19,GER,East Germany,GDR
31715,Marion Tietz,1952-11-17,GER,East Germany,GDR
31716,Petra Uhlig,1954-07-22,GER,East Germany,GDR
31717,Christina Voß,1952-07-07,GER,East Germany,GDR
31718,Claudia Wunderlich,1956-02-16,GER,East Germany,GDR
31719,Hannelore Zober,1946-11-06,GER,East Germany,GDR
31720,Hans-Georg Beyer,1956-09-03,GER,East Germany,GDR
31721,Rüdiger Borchardt,1963-12-08,GER,East Germany,GDR
31723,Lothar Doering,1950-10-23,GER,East Germany,GDR
31725,Jens Fiedler,1966-10-19,GER,East Germany,GDR
31726,Reiner Frieske,1940-10-11,GER,East Germany,GDR
31728,Reiner Ganschow,1945-06-22,GER,East Germany,GDR
31729,Ernst Gerlach,1947-03-19,GER,East Germany,GDR
31731,Jürgen Hildebrand,1948-07-24,GER,East Germany,GDR
31732,Peter Hofmann,1955-10-17,GER,East Germany,GDR
31733,Rainer Höft,1956-04-03,GER,East Germany,GDR
31735,Hans-Georg Jaunich,1951-10-18,GER,East Germany,GDR
31736,Hartmut Krüger,1953-05-08,GER,East Germany,GDR
31738,Klaus Langhoff,1939-12-05,GER,East Germany,GDR
31739,Peter Larisch,1950-09-13,GER,East Germany,GDR
31740,Bernd Metzke,1966-06-25,GER,East Germany,GDR
31741,Andreas Neitzel,1964-02-14,GER,East Germany,GDR
31742,Peter Pysall,1960-06-26,GER,East Germany,GDR
31743,Peter Randt,1941-01-24,GER,East Germany,GDR
31745,Peter Rost,1951-06-29,GER,East Germany,GDR
31747,Dietmar Schmidt,1952-04-29,GER,East Germany,GDR
31748,Wieland Schmidt,1953-12-23,GER,East Germany,GDR
31749,Siegfried Voigt,1950-10-03,GER,East Germany,GDR
31750,Klaus Weiß,1944-11-20,POL,East Germany,GDR
31751,Ingolf Wiegert,1957-11-03,GER,East Germany,GDR
31752,Rainer Würdig,1947-04-18,Elster,East Germany,GDR
31753,Rainer Zimmermann,1942-05-02,POL,East Germany,GDR
31754,Harry Zörnack,1939-03-08,POL,East Germany,GDR
31756,Maike Becker,1962-04-12,GER,West Germany,FRG
31758,Elke Blumauer,1963-07-23,GER,West Germany,FRG
31762,Csilla Elekes,1964-06-18,HUN,Germany,GER
31763,Sabine Erbs,1964-07-17,GER,West Germany,FRG
31768,Astrid Hühn,1960-06-10,GER,West Germany,FRG
31770,Eva Kiss-Györi,1966-02-21,HUN,Germany,GER
31771,Sabrina Koschella,1963-09-25,GER,West Germany,FRG
31802,Stanka Bozovic,1962-11-17,MNE,Austria,AUT
31803,Slavica Djukić,1960-01-07,SRB,Austria Yugoslavia,AUT
31808,Kerstin Jönßon,1964-07-03,GER,Austria West Germany,AUT
31809,Jasna Kolar-Merdan,1956-10-19,BIH,Austria Yugoslavia,AUT
31810,Edith Matei,1964-10-16,ROU,Austria,AUT
31817,Marianna Rácz,1959-12-17,HUN,Austria,AUT
31818,Vesna Radović,1950-09-07,SRB,Austria Yugoslavia,AUT
31819,Natalia Rusnatschenko,1969-05-13,MDA,Austria Soviet Union,AUT
31908,Solange Koulinka,1958-01-01,CGO,Congo,
31963,Slavko Goluža,1971-09-17,BIH,Croatia,CRO
31965,Vladimir Jelčić,1968-10-10,BIH,Croatia,CRO
31966,Božidar Jović,1972-02-13,BIH,Croatia,CRO
31968,Venio Losert,1976-07-25,BIH,Croatia,CRO
31970,Zoran Mikulić,1965-10-24,BIH,Croatia,CRO
31973,Iztok Puc,1966-09-14,SLO,Croatia Slovenia Yugoslavia,CRO
31974,Zlatan Saračević,1961-07-05,BIH,Croatia Yugoslavia,CRO
32026,Corinna Kunze,1963-10-07,GER,West Germany,FRG
32028,Elena Leonte,1960-07-26,ROU,Germany,GER
32030,Emilia Luca,1969-10-04,ROU,Germany,GER
32031,Roswitha Mroczynski,1963-06-29,GER,West Germany,FRG
32035,Petra Platen,1959-11-07,GER,West Germany,FRG
32036,Vanadis Putzke,1961-03-23,GER,West Germany,FRG
32037,Miroslava Ritskiavitchius,1964-02-23,LTU,Germany,GER
32041,Dagmar Stelberg,1958-09-21,GER,West Germany,FRG
32043,Claudia Sturm,1962-09-27,GER,West Germany,FRG
32047,Herwig Ahrendsen,1948-03-01,GER,West Germany,FRG
32051,Gerd Becker,1953-04-12,GER,West Germany,FRG
32053,Hans-Jürgen Bode,1941-06-27,GER,West Germany,FRG
32056,Wolfgang Braun,1944-02-26,GER,West Germany,FRG
32059,Bernhard Busch,1951-11-03,GER,West Germany,FRG
32060,Günter Böttcher,1954-07-24,GER,West Germany,FRG
32062,Jo Deckarm,1954-01-19,GER,West Germany,FRG
32066,Jochen Feldhoff,1943-09-10,GER,West Germany,FRG
32067,Diethard Finkelmann,1941-07-15,GER,West Germany,FRG
32070,Jürgen Hahn,1950-09-23,GER,West Germany,FRG
32071,Matthias Hahn,1965-01-10,GER,East Germany Germany,GDR
32073,Thomas Happe,1958-03-25,GER,West Germany,FRG
32074,Stephan Hauck,1961-08-17,GER,East Germany Germany,GDR
32076,Manfred Hofmann,1948-01-30,GER,West Germany,FRG
32078,Peter Jaschke,1952-03-01,GER,West Germany,FRG
32079,Josef Karrer,1939-03-03,GER,West Germany,FRG
32080,Klaus Kater,1948-08-16,GER,West Germany,FRG
32083,Peter Kleibrink,1957-04-12,GER,West Germany,FRG
32086,Kurt Klühspies,1952-02-04,GER,West Germany,FRG
32094,Klaus Lange,1939-09-14,GER,West Germany,FRG
32095,Herbert Lübking,1941-10-23,GER,West Germany,FRG
32099,Heiner Möller,1948-09-03,GER,West Germany,FRG
32100,Rüdiger Neitzel,1963-03-16,GER,West Germany,FRG
32103,Günter Ortmann,1916-11-30,POL,Germany,GER
32104,Michael Paul,1961-04-15,GER,West Germany,FRG
32106,Uwe Rathjen,1943-06-28,GER,West Germany,FRG
32108,Rudi Rauer,1950-01-15,GER,West Germany,FRG
32109,Dirk Rauin,1957-03-16,GER,West Germany,FRG
32111,Siegfried Roch,1959-03-26,GER,West Germany,FRG
32112,Herbert Rogge,1947-11-07,GER,West Germany,FRG
32114,Michael Roth,1962-02-15,GER,West Germany,FRG
32115,Ulrich Roth,1962-02-15,GER,West Germany,FRG
32118,Holger Schneider,1963-08-04,GER,East Germany Germany,GDR
32122,Uwe Schwenker,1959-03-24,GER,West Germany,FRG
32125,Thomas Springel,1959-05-15,GER,West Germany,FRG
32130,Walter van Oepen,1954-03-20,GER,West Germany,FRG
32131,Frank-Michael Wahl,1956-08-24,GER,East Germany Germany,GDR
32132,Herbert Wehnert,1947-04-28,GER,West Germany,FRG
32133,Klaus Westebbe,1949-09-30,GER,West Germany,FRG
32134,Holger Winselmann,1963-11-11,GER,East Germany Germany,GDR
32135,Sepp Wunderlich,1956-12-14,GER,West Germany,FRG
32136,Klaus Wöller,1956-04-23,GER,West Germany,FRG
32156,Eszter Mátéfi,1966-02-14,ROU,Hungary,HUN
32176,Antal Benda,1910-04-14,SRB,Hungary,HUN
32217,Ferenc Rákosi,1910-11-25,SRB,Hungary,HUN
